#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Cs (F)
1,-2.417155082761696,222824.9512366177,1.693570422329252e-05
1.258925411794166,-2.346285712630791,218708.2219771174,1.411946189035958e-05
1.584893192461114,-2.243956344647659,215501.4937877975,1.190115482674026e-05
1.995262314968879,-2.15062352783703,213035.3727994095,9.977658512192113e-06
2.511886431509582,-2.036340846790938,210969.7150451095,8.452080189728846e-06
3.162277660168379,-1.899822131458173,209157.7495223339,7.258308881244949e-06
3.981071705534977,-1.755092513576769,207752.262778984,6.28296887402943e-06
5.011872336272725,-1.629952384584234,206445.5418326548,5.407803687988063e-06
6.309573444801942,-1.519685079674866,205351.265292429,4.631724330657063e-06
7.943282347242822,-1.366687631067651,204340.4233036478,4.111122293911171e-06
10,-1.254047341617431,203539.2962717999,3.572853747757883e-06
12.58925411794166,-1.115565340785569,202736.241485317,3.202903103716873e-06
15.84893192461114,-0.9987093082390228,202232.3953117735,2.848885093832633e-06
19.95262314968879,-0.895621958407549,201694.3854054975,2.530124597477078e-06
25.11886431509577,-0.8084551430842855,201291.9417114342,2.230873054624927e-06
31.62277660168379,-0.7216640007555946,200893.3375096292,1.989086508261264e-06
39.81071705534969,-0.6534925743670547,200638.8017422796,1.747014854172831e-06
50.11872336272725,-0.9059817457570537,198401.5461381031,1.012269991335551e-06
63.09573444801929,-0.622427523265553,200259.1754519848,1.159498240529685e-06
79.43282347242805,-0.481529137225511,200069.9356363761,1.191635609795297e-06
100,-0.7066724613200858,200453.5299199262,6.437569032869167e-07
125.8925411794169,-0.5246557495888124,199692.6801442962,6.913727385813359e-07
