#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Cs (F)
1,-3.623395862153179,68086.61356971381,3.698748184326451e-05
1.258925411794166,-3.509335312543784,67541.47768167741,3.057869279690095e-05
1.584893192461114,-3.386037532822527,67067.57373691163,2.535077419702258e-05
1.995262314968879,-3.257520813663267,66617.21437825765,2.107187068916894e-05
2.511886431509582,-3.116022140749677,66172.85230463988,1.76147499190509e-05
3.162277660168379,-2.973088710435229,65738.09086454025,1.47608960787345e-05
3.981071705534977,-2.82139674637281,65312.09237296619,1.243542222245934e-05
5.011872336272725,-2.669362238577685,64907.08335470784,1.050510211355999e-05
6.309573444801942,-2.508277698042519,64522.8455680418,8.93289777125962e-06
7.943282347242822,-2.342412290265139,64148.85411316911,7.642078772666703e-06
10,-2.170714943995719,63788.70492182358,6.58718836710673e-06
12.58925411794166,-2.000635630639005,63466.71268639608,5.705806193265486e-06
15.84893192461114,-1.831888134329164,63182.19547772775,4.971908141855656e-06
19.95262314968879,-1.645729471019625,62915.90859067326,4.414520769788844e-06
25.11886431509577,-1.477318584322139,62693.55121987734,3.920070290018299e-06
31.62277660168379,-1.306793602904895,62493.38396828684,3.531338717637998e-06
39.81071705534969,-1.15958965664823,62331.91510641467,3.169258101363195e-06
50.11872336272725,-0.9870803477407983,61938.8294729488,2.976108416075415e-06
63.09573444801929,-0.9149667909196493,62055.04933215894,2.54553320264803e-06
79.43282347242805,-0.7805529692347263,61963.82871970762,2.373643939652167e-06
100,-0.6984716846422878,61783.21166572122,2.113169022487943e-06
125.8925411794169,-0.6092101700136533,61816.47481677998,1.923444092313286e-06
158.4893192461114,-0.5369407408986762,61771.30758057036,1.734746294744916e-06
199.5262314968879,-0.5223437755548654,61760.09015782009,1.416721337029475e-06
251.1886431509582,-0.4746387152750818,61700.62176129071,1.239638429100803e-06
316.227766016838,-0.4440781511345366,61637.99725356455,1.053511272495002e-06
398.1071705534969,-0.4683843406084016,61634.81336206444,7.934492410273278e-07
501.1872336272715,-0.4488118571911231,61616.88494574854,6.579352342358404e-07
630.9573444801929,-0.4902534481587471,61620.29312584519,4.784137428612046e-07
794.3282347242822,-0.568410652750991,61587.41836206695,3.279409721140631e-07
1000,-0.6335068463840625,61565.16625220627,2.338111638483811e-07
1258.925411794166,-0.7518628437846557,61558.08620447755,1.565061816345057e-07
1584.893192461111,-0.8919341605045631,61577.62319222096,1.047621942001604e-07
1995.262314968879,-1.137816379233183,61596.82878735012,6.521399029171227e-08
2511.886431509582,-1.371659994337208,61530.30638020333,4.301784981563071e-08
3162.277660168379,-1.723282020778697,61510.99054957452,2.72081596351282e-08
3981.071705534969,-2.098525768928657,61482.16724061058,1.775727797728416e-08
5011.872336272725,-2.60356519267382,61464.78634649015,1.137358561496825e-08
6309.57344480193,-3.284865642671559,61371.39353820746,7.172938549159076e-09
7943.282347242822,-4.097607798392114,61314.88272583504,4.573163703985296e-09
10000,-5.139908913318963,61237.14358743429,2.901049081589663e-09
12589.25411794167,-6.43893674400072,61082.39959391713,1.845555236642625e-09
15848.93192461113,-8.05604208741593,60845.00693681519,1.177681923977797e-09
19952.62314968881,-10.11373104678159,60459.35934335893,7.513209561752777e-10
25118.86431509579,-12.59065807720063,59830.8080910193,4.858144302129427e-10
31622.77660168382,-15.68247354490623,59049.07912161401,3.153199106343852e-10
39810.71705534973,-19.03490935536762,56230.02069732841,2.179928512797492e-10
50118.72336272719,-25.48846559136578,53965.50699678688,1.367422956671883e-10
63095.73444801931,-28.94107585279015,53152.2432579606,9.80695172580501e-11
79432.82347242805,-34.57617165447738,49833.63964674404,7.084849217426044e-11
100000,-40.67213118057055,45483.15845426523,5.369107399499927e-11
125892.5411794166,-46.86935587777173,40591.03934256864,4.267642654454936e-11
158489.3192461114,-52.90584675033547,35445.74725763909,3.551780243363878e-11
199526.2314968879,-57.91986912906184,30268.52814808034,3.110201094396475e-11
251188.6431509582,-62.68613277161717,25481.59977591988,2.798549407498904e-11
316227.7660168379,-66.96943412354872,21228.50563011223,2.57616124866653e-11
398107.1705534976,-70.72899016557442,17479.69892018152,2.422863140030828e-11
501187.2336272722,-73.58545040719103,14316.20221111601,2.312405588119754e-11
630957.3444801936,-76.92454865534167,11583.47944373743,2.235576827521928e-11
794328.2347242814,-79.41848926286997,9336.551124612106,2.183144559318545e-11
999999.999999999,-81.42066716608969,7490.886626514011,2.148690904123813e-11
1258925.411794167,-83.13566123372756,5989.685823040131,2.125887878627641e-11
1584893.192461113,-84.52235297002626,4772.690805553765,2.1137059642062e-11
1995262.31496888,-85.66684013940153,3799.280084753496,2.105532732531357e-11
2511886.431509579,-86.50897735012371,3018.268673517003,2.103143383033512e-11
3162277.660168381,-87.15933186407851,2399.498598856906,2.100069244488373e-11
3981071.705534971,-87.68251789297952,1904.801074232902,2.100515340188571e-11
5011872.336272726,-88.10320534165992,1512.910096289444,2.100124488550188e-11
6309573.444801931,-88.51494090160953,1207.425801713048,2.089804096202867e-11
7943282.347242822,-91.10338261156652,930.139475531072,2.154530224372949e-11
10000000,-89.44085515174955,714.8079186846594,2.226647437884723e-11
