#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.01 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
1,-35.30794025458609,1452.194730962308,1185.074402622927,-839.3260372957592
1.258925411794166,-39.03391668962001,1253.719580365569,973.8558883644217,-789.5679165784036
1.584893192461114,-39.17174647820686,1167.331743164722,904.9810065804405,-737.3416957751954
1.995262314968879,-40.07021663258126,1062.832882080557,813.3393723341569,-684.173077987393
2.511886431509582,-39.22993432284272,987.6309047022883,765.0329010887185,-624.6114505633398
3.162277660168379,-39.47394794877214,888.9068011493591,686.1593597042992,-565.1023219026555
3.981071705534977,-39.5955345068107,774.5009372568518,596.801703527147,-493.638965721748
5.011872336272725,-38.52143811236861,721.0457279667032,564.1282801130689,-449.0726281969365
6.309573444801942,-38.42240462820994,648.5223282959281,508.0851470243974,-403.0269143265347
7.943282347242822,-37.47798008157561,589.1039793264227,467.5054015775802,-358.4441350531652
10,-36.52094039680544,527.4755860585682,423.9001697052755,-313.9094455598122
12.58925411794166,-36.21072455121332,485.9894550518505,392.1204699174162,-287.101528197499
15.84893192461114,-34.73296294864447,444.9927372920571,365.7023256753499,-253.5356882932225
19.95262314968879,-33.80279259920756,402.5467038361286,334.4991440464193,-223.9512701494337
25.11886431509577,-31.97851500534599,365.0159218436816,309.6235685695681,-193.3128784784879
31.62277660168379,-30.51256322644454,341.2872924900056,294.0250951278509,-173.2808686791962
39.81071705534969,-29.48346330747673,312.3434276896983,271.8942612894444,-153.7267949929911
50.11872336272725,-27.10144087743835,287.587865260686,256.0111053985826,-131.0156256245579
63.09573444801929,-25.24101725325549,269.0282645446092,243.3419869016954,-114.7208984214267
79.43282347242805,-23.18976453545307,255.0935539672353,234.4834486814171,-100.4501546544557
100,-21.32490367071361,239.077068541639,222.7082391500326,-86.94184790511088
125.8925411794169,-19.21123116052915,227.6554282819652,214.9777271610513,-74.91041884086313
158.4893192461114,-17.05530908315847,218.2238909632256,208.6268573904978,-64.00391364982798
199.5262314968879,-15.35820428809447,208.1091990470678,200.6773830674319,-55.11829690056916
251.1886431509582,-13.77638970186716,200.6155383681096,194.8443292050551,-47.77323111700245
316.227766016838,-11.44534494992051,196.4639822106337,192.5571854987174,-38.98495374978343
398.1071705534969,-9.349017122080015,191.3578075645318,188.8160212433459,-31.08569828292032
501.1872336272715,-8.601794461464491,190.7782976964369,188.6323656411712,-28.53400610790174
630.9573444801929,-6.720766697776667,188.236912522691,186.9434044256916,-22.02949790184812
794.3282347242822,-5.028234743556936,184.8151836246232,184.1039459955584,-16.19843100635693
1000,-4.618506594446472,181.8045501341853,181.2142166021666,-14.63906249582063
1258.925411794166,-4.701676922660057,181.3442624726041,180.7340368948733,-14.86436811355602
1584.893192461111,-3.070068062879409,181.331004297338,181.0707553974244,-9.711573471240007
1995.262314968879,-2.763856318556567,181.5067464090504,181.295609470928,-8.752198498896691
2511.886431509582,-2.539577907794548,178.8107069149348,178.6350884254232,-7.923010201933061
3162.277660168379,-1.678111903418338,181.5340701013023,181.4562138167313,-5.316114637707413
3981.071705534969,-0.7716802135894875,181.5275183597401,181.5110543590881,-2.44480414305984
5011.872336272725,-0.1905174207054035,179.8349456800393,179.8339514936484,-0.5979781959193392
6309.57344480193,-0.9900235907246604,182.354743953875,182.3275218249547,-3.150782070216132
7943.282347242822,-0.6398606853866226,177.7716813391536,177.7605958806774,-1.985255221899591
10000,-1.559270897285808,180.3636730893195,180.2968863635418,-4.907885276062991
12589.25411794167,-0.1243293338848814,180.7635560191369,180.7631304377171,-0.3922486972704384
15848.93192461113,0.3006915887541541,182.5060977448395,182.5035844485992,0.9577982365427467
19952.62314968881,0.04893121425109669,178.0061262253036,178.0060613123084,0.1520191350148588
25118.86431509579,1.53115191455324,179.8462060690612,179.7819910320202,4.805573638788863
31622.77660168382,-0.8861882363739018,183.3727683974691,183.3508351527262,-2.836095652418746
39810.71705534973,-0.6868463401156699,185.3912916285986,185.377970897982,-2.222367536438057
50118.72336272719,-1.574886477667617,178.1614694058478,178.0941702386905,-4.89649955000128
63095.73444801931,1.035072681210898,186.8854845217808,186.8549894126632,3.375982306572466
79432.82347242805,1.890012521160461,180.5640672955262,180.4658368645013,5.955176160156943
100000,2.078618718242413,175.7604050713078,175.6447544903968,6.374967516655556
125892.5411794166,0.1008466423386342,187.7013882590237,187.701097512187,0.330374159414058
158489.3192461114,2.427947463397166,194.7834564438739,194.6085964783386,8.251610809637898
199526.2314968879,-5.599029602603872,170.0776683308631,169.2662367153077,-16.59380526282297
251188.6431509582,-1.097320653131533,189.4795624380442,189.4448135473823,-3.628663901528473
316227.7660168379,1.380299030077237,173.1415611887641,173.09132098061,4.170708821050742
398107.1705534976,-1.38164933507658,179.2382539328099,179.1861428540761,-4.321791522166978
501187.2336272722,1.617461614366498,179.2931319346741,179.2216942259744,5.060778370547845
630957.3444801936,-2.825777918801363,179.6372088722581,179.4187804946987,-8.855959417839324
794328.2347242814,-0.853422843803105,178.1573219581828,178.13755913828,-2.653562052674715
999999.999999999,-1.629934027952795,182.965098018955,182.8910686995688,-5.204237025290778
1258925.411794167,-0.9461038988904191,183.3256772755056,183.3006844225584,-3.027051163177506
1584893.192461113,-0.8079625267687788,181.7000824430301,181.6820167301174,-2.562178112717327
1995262.31496888,-2.468992023896596,180.1723532862774,180.0050959950197,-7.761591624074985
2511886.431509579,-2.965803793526819,183.3878238915891,183.1421929370062,-9.488472896989558
3162277.660168381,-4.535547954451752,181.1846251661154,180.6172389131649,-14.32764474610007
3981071.705534971,-4.872315815050808,182.8183298143083,182.1577069399863,-15.52776604857488
5011872.336272726,-7.881859773035043,183.7221540015477,181.9865178521625,-25.19399116878773
6309573.444801931,-7.089889229445924,188.5596953523804,187.1179177501251,-23.27323716718226
7943282.347242822,-9.444961543442469,189.0754567871374,186.512291578178,-31.02730167967199
10000000,-10.95265524027857,197.9980906006959,194.3914599369456,-37.61919968718487
