#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
100,0.4223153292943104,589421.8087031778,4344.58480724171
107.9775162327709,-1.029546924232705,604665.854906747,-10866.40040490032
116.5914401179831,0.1754179469128285,598090.4458172292,1831.131835127147
125.8925411794166,-0.3905386003463818,594235.4859576379,-4050.481397579564
135.9356390878524,-0.4070863712071952,595083.6969049632,-4228.139336376594
146.7799267622071,-0.3577032290470922,595445.9946088528,-3717.476646147206
158.4893192461114,-0.3376800422077945,594521.2876887806,-3503.928207135044
171.1328304161781,-0.500295657229569,592404.9119140867,-5172.896500972211
184.7849797422291,-0.4632242538916463,589379.2297689843,-4765.110185641923
199.5262314968883,-0.9496288244971307,592071.5610502588,-9813.981319859091
215.4434690031882,-0.5133509481236921,596967.7456770405,-5348.773703178441
232.6305067153629,-0.3535760925722444,593024.9391858948,-3659.643071326999
251.1886431509577,-0.6200908734986018,590432.629167857,-6390.281851002384
271.227257933203,-0.8035605335320326,593581.3431233128,-8325.391857609044
292.8644564625237,-0.596325234061023,592562.1432451489,-6167.513930892125
316.227766016838,-0.6430445873046503,592931.7041631117,-6654.897375471284
341.4548873833601,-0.8695832643026745,589808.728281721,-8952.268168201652
368.6945064519574,-1.043257464727838,589021.7660126919,-10726.2573157236
398.1071705534969,-0.9235990065504949,592798.4236727786,-9556.645672260684
429.8662347082281,-0.900091698503989,591408.8893613203,-9291.539992191652
464.1588833612772,-1.050307315777249,588217.7452375795,-10784.01616988414
501.1872336272725,-1.229839978770016,589939.6439979402,-12664.85615595953
541.1695265464638,-1.37907606996956,590080.6334078014,-14205.64084236283
584.3414133735175,-1.544345297462939,589740.4820089387,-15899.66263530569
630.9573444801929,-1.472314560091593,589455.7330019014,-15150.42363401195
681.2920690579608,-1.667153661000196,589130.7339491999,-17146.96525032242
735.6422544596421,-1.727413528907824,588813.527964146,-17757.55128800495
794.3282347242806,-1.880240445368974,588106.7069469155,-19306.46797295467
857.6958985908946,-1.950822928527299,588865.5245001513,-20057.61159278784
926.1187281287937,-2.083333194563748,589428.9352467158,-21441.68981865458
1000,-2.436358078745982,588370.0300681397,-25034.03742692809
1079.775162327709,-2.545819891372033,586972.8954615904,-26098.10832062393
1165.914401179832,-2.95072304007435,590023.7200585492,-30413.01489351751
1258.925411794166,-3.077850377603129,587752.4286897164,-31603.65642459299
1359.356390878525,-3.021789781235108,591849.5512927052,-31243.22578003253
1467.799267622071,-3.433163583442795,585536.892680243,-35127.42612032949
1584.893192461114,-3.75920560486324,586632.4181242462,-38544.5791119975
1711.328304161781,-4.001424818767886,586650.9787427181,-41037.29273451386
1847.849797422293,-4.470742757743547,584457.8249629355,-45697.54713606872
1995.262314968879,-4.664457840865825,584503.8213623406,-47689.94550271929
2154.434690031882,-5.10711575528047,585567.4880096768,-52333.80969872324
2326.305067153626,-5.379268685069875,583664.6758405671,-54959.48893894745
2511.886431509582,-5.899380358079972,580506.6846723608,-59983.18515615082
2712.272579332027,-6.386575957015341,582331.9694846456,-65180.84637998243
2928.644564625237,-6.963296917558281,579650.9820362844,-70795.30447366495
3162.277660168379,-7.44312703072454,578266.9629382148,-75546.41758973914
3414.548873833601,-7.971271126567079,572966.8229831912,-80232.28837914587
3686.945064519577,-8.5047021613819,575005.3996708882,-85983.37702022499
3981.071705534977,-9.290604146662197,572109.4508111159,-93590.18276745717
4298.662347082277,-10.04817170602225,569468.3515117648,-100906.3775862592
4641.588833612773,-10.63831512341267,565371.6490528019,-106197.7969370229
5011.872336272725,-11.60765521650072,562110.0191250303,-115462.8855699412
5411.695265464637,-12.52698638490893,560256.978941287,-124482.8620184494
5843.414133735176,-13.50094575000939,555800.9205663834,-133445.6984312129
6309.57344480193,-14.76088390871374,549807.6634979483,-144863.9641347582
6812.920690579615,-15.59890490596587,545834.5158992178,-152388.4894195305
7356.422544596407,-16.69991974853263,538768.4555991611,-161637.4604438489
7943.282347242814,-18.21302644052102,530730.2865835665,-174628.9570383081
8576.958985908946,-19.38661842692007,523038.9480285611,-184053.7945863152
9261.187281287937,-20.9201837498253,509564.3470536676,-194789.4114730033
10000,-22.67019790024801,498342.9228369594,-208156.858793918
10797.7516232771,-23.73552818886178,488179.7012306768,-214657.0481133493
11659.14401179831,-25.71675734737713,474387.78669271,-228478.3282096419
12589.25411794166,-27.41043636883671,461377.0667919614,-239261.7856681177
13593.56390878527,-29.11125108300399,446184.4391392935,-248457.845283878
14677.99267622071,-31.17213896529205,426841.8239151178,-258220.9937192641
15848.93192461113,-32.98171557968211,408686.7390411661,-265218.8858321161
17113.28304161781,-34.81784995032125,390570.3242332844,-271633.9411359736
