#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 1e+07 Hz
#Steps: 151
#Resistor: 10000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm)
100,-0.4407372592367706,219162.5525584758,-1685.900930253828
107.9775162327709,0.132513772458077,218686.3496903451,505.7790486298844
116.5914401179831,-0.3055570058152681,218403.4717524174,-1164.751472477689
125.8925411794166,-0.1541641385006951,218513.0021603366,-587.9481928722658
135.9356390878524,-0.1584360471187975,218270.792303416,-603.5706289689109
146.7799267622071,-0.1836252214246496,218133.9226314549,-699.0921027881926
158.4893192461114,-0.1634254118367163,218116.1304587604,-622.1368383342702
171.1328304161781,-0.1975081211968822,218042.8358147436,-751.6330485389283
184.7849797422291,-0.2178405432440996,217706.9557035662,-827.7333936571816
199.5262314968883,-0.2793424989067205,217711.2043890191,-1061.447706276982
215.4434690031882,-0.3264221606705438,218242.4540789493,-1243.371584652963
232.6305067153629,-0.1443723065685679,218136.2612070241,-549.6548279207276
251.1886431509577,-0.2641508391799709,217979.0986724806,-1004.956565359047
271.227257933203,-0.2582243430609462,217644.8157398609,-980.9024427651
292.8644564625237,-0.1635636449106004,217801.4967656777,-621.7648796150147
316.227766016838,-0.2472096502642191,217717.7283125642,-939.375603486321
341.4548873833601,-0.3006222319897501,217477.0185654926,-1141.079277270571
368.6945064519574,-0.3015143368450634,217865.6594061106,-1146.510733668823
398.1071705534969,-0.3008856980984222,217738.751655782,-1143.453830357656
429.8662347082281,-0.3229632875982844,217700.3162402885,-1227.140203010044
464.1588833612772,-0.3189349174058272,217680.8321671569,-1211.725119968575
501.1872336272725,-0.3497791007565798,217827.7522024974,-1329.810720152377
541.1695265464638,-0.3844974226666943,217640.2576457578,-1460.550411398405
584.3414133735175,-0.3569374547222401,217770.7914596224,-1356.671612745098
630.9573444801929,-0.4454766214748024,217652.5928176446,-1692.290363073338
681.2920690579608,-0.4554748798113432,217419.8931074869,-1728.423744863409
735.6422544596421,-0.4926297063001841,217424.752224143,-1869.466341379376
794.3282347242806,-0.511386350648856,217457.8395791192,-1940.944428900798
857.6958985908946,-0.5612407795125621,217427.2499857203,-2129.876640569667
926.1187281287937,-0.6306386905233595,217478.0668218719,-2393.817192025108
1000,-0.6696446710133577,217587.3889688933,-2543.16934833998
1079.775162327709,-0.7894162515842178,217229.3031267243,-2993.155787351859
1165.914401179832,-0.7242708367828989,217594.2367061235,-2750.735849345418
1258.925411794166,-0.7585380653689842,217195.067074567,-2875.610618973041
1359.356390878525,-0.874611393967839,217240.8240008521,-3316.405861865996
1467.799267622071,-1.030108461886735,217264.2312027902,-3906.567676032593
1584.893192461114,-1.042849741204564,217033.4502290155,-3950.697172492437
1711.328304161781,-1.124059920165597,217856.5973382308,-4274.578230719651
