#Digilent WaveForms Impedance Analyzer - Nyquist
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 

Trace (Rs),Trace (Xs)
197771.9176239955,-5615.933865804623
197300.4220300002,-4929.707441153758
196859.0269697856,-4352.890129104386
196473.0183578294,-3778.112331365314
196096.7345685394,-3375.157418786755
195906.1674071572,-3011.674951254622
195448.7728366957,-2709.034493311207
195208.8587576076,-2397.630308240837
194967.9159114372,-2095.51125848389
194752.3288559177,-1881.408499186881
194614.434116232,-1664.763074568897
194399.2252963973,-1523.86263486608
194245.2346878405,-1260.702072955719
194073.3892316092,-1136.851330396125
193959.2523871549,-1079.379679312889
193802.0774447146,-922.7145448058169
193753.9158226747,-987.067717166143
192435.714630219,-2483.613688629109
193637.2352544314,-989.4580442069246
193496.2916880984,-725.889498898744
193536.466713049,-1644.731561563563
193421.3650706308,-741.8813740604834
193341.1831895561,-751.7948685303165
193452.5698058243,-316.5797478241673
193320.9116470114,-882.4482363462482
193281.5785167191,-950.3908424443323
192967.1935326522,-1138.44128602221
193260.677805384,-1084.661394853341
193089.8309903627,-1408.89830553876
193117.619787381,-1596.425915402204
193157.5621489966,-2184.208197124358
192750.2130637252,-2380.932621381953
192903.9703508477,-3176.558155734214
192910.3791024108,-3771.147481666044
193209.0071321274,-5029.739797024474
192783.6142633713,-6090.854004088663
192766.1860190845,-7645.641954875266
192411.1113611026,-9363.605909797141
192192.7177483286,-12165.80286060019
191986.1565718626,-14717.72012051008
191248.9309874943,-18945.80755467174
190254.0535227023,-22843.58061456937
188524.2810548306,-28975.07937166531
186277.1422206858,-36172.93556839628
182435.0156958308,-44308.40987463247
176250.8445389963,-53291.30125670594
158104.8593000878,-68428.7175599297
174428.3036160368,-81294.32536632911
140126.9646176,-86416.64299166242
120453.0187531091,-93571.68639606677
98578.47433107604,-95808.33361866312
77291.78931004977,-91672.056816321
57848.87703283313,-86904.53068065632
41574.04864081004,-77366.7298050574
29162.98910320451,-66804.42992414083
19567.54282740409,-56255.39540836898
13816.58800240332,-46998.77612016111
9211.721692701745,-38621.7839757812
6047.999240073465,-31418.27061092431
3943.827061803387,-25396.59049072365
2529.200510422521,-20411.90765992773
1615.851795644935,-16310.94073738515
1027.511149009125,-13033.90440138297
618.4639879648088,-10363.70199519241
407.0146437616672,-8259.997301357354
253.0550252704877,-6569.653110018781
149.6385202063772,-5226.887389449305
86.82757427579278,-4166.811228435604
40.87407896451187,-3330.489510320755
-54.44146686167994,-2621.085122077402
-32.77937899928292,-2044.503174949152
