#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
0.1,-29.45435405053574,25679.34777826286,22360.23352420132
0.1258925411794166,-35.20970469188801,21045.48909590306,17195.15901564745
0.1584893192461114,-42.21238099403185,18244.28699589747,13512.80316129832
0.1995262314968879,-46.25679244523325,16646.23428874537,11509.66273193252
0.2511886431509582,-51.48444794709351,14616.28217478267,9101.954142966797
0.3162277660168379,-56.37474802108286,13092.72525022703,7250.209060850701
0.3981071705534969,-62.14405851642761,10661.73431171716,4981.696317832413
0.5011872336272725,-64.49677758805963,9158.472145785372,3943.288793207102
0.6309573444801929,-67.32615612470741,7406.49956103764,2855.093400505675
0.7943282347242822,-69.54682494250676,6135.927276846161,2144.149285704371
1,-72.88586779891246,5014.706152473005,1475.707998295043
1.258925411794166,-75.19674387502036,4123.324665521718,1053.512347417976
1.584893192461114,-76.69715513828599,3343.956748684875,769.4379518355011
1.995262314968879,-77.92434833850189,2722.254291339462,569.503836707556
2.511886431509582,-78.86113579496225,2217.053764974698,428.307165523845
3.162277660168379,-79.55045951356188,1799.810752154624,326.4308075798803
3.981071705534969,-80.02827391232839,1449.908422761482,251.0693042176038
5.011872336272725,-80.39534283055112,1173.478491022533,195.7935846311922
6.30957344480193,-80.53736940653013,950.5990170378223,156.2825625658487
