#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
0.1,-22.36125600635529,5051.422466739063,4671.573207071535
0.1258925411794166,-24.77620439040835,4853.12744785565,4406.404848811504
0.1584893192461114,-27.37227731139378,4546.747608842717,4037.684425172013
0.1995262314968879,-30.32740693913325,4208.925131211638,3632.951048527613
0.2511886431509582,-33.41040406994505,3859.185514786018,3221.446966755313
0.3162277660168379,-36.73165936484264,3505.517891015294,2809.48083086587
0.3981071705534969,-40.1386474764128,3152.477228205753,2410.027067450342
0.5011872336272725,-43.72279553486123,2809.709992979365,2030.555541701764
0.6309573444801929,-47.22382350613108,2477.577850304146,1682.612711495179
0.7943282347242822,-50.61004290906406,2163.824991773035,1373.152644636466
1,-53.81517950302792,1872.706477933644,1105.63065519528
1.258925411794166,-56.83104133271441,1606.530656695153,878.9486766523612
1.584893192461114,-59.59249813684115,1369.109277456953,692.9701298628567
1.995262314968879,-62.04548865736711,1158.614546017771,543.1242263186697
2.511886431509582,-64.1756588839631,975.8307499093723,425.0850921573344
3.162277660168379,-66.0112726884476,818.8603876359427,332.9133400917824
3.981071705534969,-67.51741672014397,685.4957280988791,262.1353313088015
5.011872336272725,-68.69717046563611,572.7826908282628,208.0903714499374
6.30957344480193,-69.54376748004043,478.4382440728049,167.2102276984516
7.943282347242822,-70.06096609801385,399.969554063849,136.3976418725063
10,-70.23511250087022,335.0062303033311,113.2861282400034
12.58925411794166,-70.04577464285181,281.4240345737242,96.04138235006049
15.84893192461114,-69.48216579166464,236.9734173408888,83.05892641351731
19.95262314968879,-68.55758262281859,200.1788695647476,73.17858186892238
25.11886431509582,-67.25811922042635,169.4509168088307,65.50638207018881
31.62277660168379,-65.57599122280095,143.7346470508557,59.43226417469271
39.81071705534969,-63.51217438293938,122.3605486349142,54.57374009362575
50.11872336272725,-60.93898404318004,104.2437700830252,50.63544741270363
63.09573444801929,-57.86387446694764,89.15367027937175,47.42374294222872
79.43282347242821,-54.26065558717064,76.72918827760047,44.81742088966196
100,-50.17265598168918,66.68374738663455,42.70935877100391
125.8925411794166,-45.70607135160763,58.73692172216018,41.01830920341688
158.4893192461114,-40.98795443250908,52.53407924721965,39.65521785872275
199.5262314968879,-36.18868569982394,47.77979049300691,38.56196635804503
251.1886431509582,-31.48541742422023,44.18705217868307,37.68153034630559
316.227766016838,-27.02563148567913,41.49773445162732,36.96632047914616
398.1071705534969,-22.95566939903757,39.52134072762531,36.39152293940847
501.1872336272725,-19.29725329057483,38.06379585701966,35.92524981392795
630.9573444801929,-16.14017586388286,36.99005379352241,35.53207101999443
794.3282347242822,-13.4213039507843,36.20411239793475,35.21536510970076
1000,-11.12694290257047,35.61065882682858,34.94125049962675
1258.925411794166,-9.198566984130832,35.17434128689905,34.72200852736868
1584.893192461114,-7.596066728853271,34.84035164563541,34.53461422037378
1995.262314968879,-6.268173827537368,34.59104982779942,34.38425610525734
2511.886431509582,-5.192056119870617,34.38371712972995,34.2426391899447
3162.277660168379,-4.28281269429932,34.23121011421031,34.13562221243068
3981.071705534969,-3.567636927333241,34.09935719864732,34.03327387031582
5011.872336272725,-2.955566519311347,33.99408364405109,33.94886544621423
6309.57344480193,-2.47082537775791,33.88579639036983,33.85429285904341
7943.282347242822,-2.05402681799351,33.81831494301613,33.79658580942625
10000,-1.685049310198246,33.74342108525187,33.7288293219345
12589.25411794166,-1.406879815202584,33.70381185325968,33.69365180109318
15848.93192461114,-1.165572690702888,33.65755358977773,33.65058939298542
19952.62314968879,-0.9443445516550049,33.62718276026149,33.62261538862797
25118.86431509582,-0.7729844511965883,33.58903810492859,33.5859813738295
31622.77660168379,-0.6307359192681234,33.56964065853704,33.5676066059623
39810.71705534969,-0.4292573603124437,33.5401852537546,33.53924396327468
50118.72336272724,-0.3474466122584883,33.52731410474561,33.52669765406723
63095.73444801931,-0.2556558878964303,33.50842392992421,33.50809035790133
79432.82347242821,-0.149809871003871,33.48562346867425,33.48550900603865
100000,-0.06766097774022727,33.51574616938611,33.51572279984845
