#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
0.1,-28.43012573309253,581.4953326564081,511.3660484535995
0.1258925411794166,-29.07033387104211,567.6505215789715,496.1401321086552
0.1584893192461114,-29.1682884386721,550.6451728130488,480.8189376054285
0.1995262314968879,-29.44532009632593,528.2265801789547,459.9930390738654
0.2511886431509582,-29.59668339651234,505.0679323294993,439.1684464567055
0.3162277660168379,-29.97981408740674,481.5069893470606,417.0820790102649
0.3981071705534969,-30.29949244512254,457.1804425041621,394.7296031709528
0.5011872336272725,-30.78666651285883,432.4852901109734,371.5390447420998
0.6309573444801929,-31.21274275601739,407.9032121365154,348.8588257879746
0.7943282347242822,-31.66417177195751,384.2491591062868,327.0496491753325
1,-32.07068127325132,361.0177705595444,305.9241957445767
1.258925411794166,-32.54753951229927,338.7777482338286,285.5711264653128
1.584893192461114,-33.03642588976403,317.044727597589,265.7862496460311
1.995262314968879,-33.4379034878718,296.7286384217922,247.6151572558776
2.511886431509582,-33.81946806917604,276.9761447432571,230.1105075507455
3.162277660168379,-34.23114214386097,258.1034232015667,213.3934425625861
3.981071705534969,-34.51495595922209,240.0842353076836,197.8242027336194
5.011872336272725,-34.86473085378544,222.7373875930173,182.7568978999183
6.30957344480193,-35.20874204361906,206.5316759150976,168.7481387757029
7.943282347242822,-35.42812715794435,190.8142177854099,155.4836910519234
10,-35.69860049275059,175.9976494119526,142.9273004136138
12.58925411794166,-35.84178748810618,162.0099508789212,131.331256755014
15.84893192461114,-35.9449212761421,148.5790631656513,120.2868848109286
19.95262314968879,-35.98673293575058,136.3001679249744,110.2877002290281
25.11886431509582,-36.03079302818838,124.7782499748516,100.9082928383132
31.62277660168379,-35.95180641620673,114.1828758042633,92.4323072065839
39.81071705534969,-35.88460531740406,104.3492981194501,84.54371392928297
