#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
0.1,-33.0510992303321,1538.455410487368,1289.509476319088
0.1258925411794166,-34.25188879966483,1434.906241120872,1186.052166979381
0.1584893192461114,-35.09229161934758,1353.426658125288,1107.410327969985
0.1995262314968879,-35.95501068010223,1271.582994942052,1029.31881666246
0.2511886431509582,-36.90058643130717,1185.260670501676,947.8274905632408
0.3162277660168379,-37.65917824621897,1098.692247107155,869.7896377706703
0.3981071705534969,-38.51627592877364,1014.596200778209,793.8518126322723
0.5011872336272725,-39.22909419794935,933.2778553553175,722.9389129961766
0.6309573444801929,-39.99232951074562,856.7404293741962,656.3749646451632
0.7943282347242822,-40.74441347491082,784.9032175044019,594.6651469935906
1,-41.44565920454679,717.3381581629675,537.7050838547557
1.258925411794166,-42.16899825441994,651.6812770640519,483.0052723332798
1.584893192461114,-42.84603163434132,590.8918477705058,433.2323079958808
1.995262314968879,-43.48590347652912,534.2801970927341,387.643633945948
2.511886431509582,-44.18133833572693,481.4423726634321,345.2604476558972
3.162277660168379,-44.82933081311302,432.1095437102526,306.4563782759726
3.981071705534969,-45.48870266861128,386.6045452960452,271.0290725151745
5.011872336272725,-46.08869293368553,345.3883133919578,239.5419966775469
6.30957344480193,-46.66595458654454,307.0867848167541,210.7385141990851
7.943282347242822,-47.15503544764037,272.3461333225148,185.199976337757
10,-47.59366709411015,241.1158240235348,162.6046550683168
12.58925411794166,-47.92552988796697,213.1583723800004,142.8365604147548
15.84893192461114,-48.14380591512575,188.0686464824411,125.4913040606388
19.95262314968879,-48.3421634126944,165.5689113536447,110.0504649845575
25.11886431509582,-48.35979234933318,145.5189149925467,96.69016251508177
31.62277660168379,-48.23909553685802,127.6759041519874,85.03517076495228
39.81071705534969,-48.00091146642302,112.0213493441044,74.9555890842188
50.11872336272725,-47.55448490630351,98.26597840981205,66.31860775883283
63.09573444801929,-46.89238009321935,86.26048779371985,58.94790491083368
79.43282347242821,-46.01870058872327,75.83881085772617,52.66425629504615
100,-44.93179180502646,66.71549666535279,47.2311064737094
125.8925411794166,-43.54166709120241,58.90191381882318,42.69644164357872
158.4893192461114,-41.81738956914013,52.10513943198702,38.83258845155669
199.5262314968879,-39.72248749832256,46.36814178014038,35.66400022053506
251.1886431509582,-37.31375715851128,41.51353871234212,33.01687786708168
316.227766016838,-34.63350148234785,37.51384296843317,30.86654767494577
398.1071705534969,-31.61404165599874,34.20291216782011,29.12714848229528
501.1872336272725,-28.4211666540789,31.51002007713128,27.71220571249836
630.9573444801929,-25.22220950055108,29.42264279102664,26.61754511107056
794.3282347242822,-21.94660793527003,27.7531830145993,25.74198021215832
1000,-18.83765552353317,26.48913665359632,25.07030587517321
1258.925411794166,-16.07972385480755,25.54507544108948,24.54568137153301
1584.893192461114,-13.47320672581349,24.84941437640533,24.16553315456006
1995.262314968879,-11.26303842974338,24.35911618227598,23.88998054288643
2511.886431509582,-9.320254566390748,23.98554451330103,23.66889997968023
3162.277660168379,-7.555967294079353,23.67891722436617,23.47331054920882
3981.071705534969,-6.171519775529769,23.44268409996854,23.30682260540421
5011.872336272725,-4.997675140233774,23.40546281327138,23.31648071451725
6309.57344480193,-3.973123197333263,23.26198341993769,23.2060770223494
7943.282347242822,-3.214779895225961,23.20909195744227,23.17256853745938
10000,-2.747062854112587,23.0995690712615,23.07302407831742
12589.25411794166,-2.024565967880387,23.04705268468711,23.03266606343571
15848.93192461114,-1.868057276123588,23.08710658154761,23.07483681918667
19952.62314968879,-1.480026812233008,23.08204762291135,23.07434720865178
25118.86431509582,-1.617096030718585,22.96777798741017,22.95863082239051
