#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm)
0.1,-33.591256133178,765.7624664191981,637.8844868824273
0.1258925411794166,-36.32285107401547,651.9978805502659,525.3095465485777
0.1584893192461114,-39.40211213576302,624.1996678479921,482.3254342296426
0.1995262314968879,-41.58562931434949,594.6098068614638,444.7470804862076
0.2511886431509582,-43.33379103258094,557.1094900165368,405.2237044520181
0.3162277660168379,-44.88702239251293,525.67039983703,372.4373210361703
0.3981071705534969,-46.2510054679095,495.0886287821188,342.3539744953301
0.5011872336272725,-47.31167982302735,464.0827853915918,314.6526961992313
0.6309573444801929,-48.05548135957447,432.2041849907755,288.8898938581559
0.7943282347242822,-48.40865186191689,397.4851532495782,263.8559253060279
1,-48.48851356374901,361.2398552965234,239.4190048735393
1.258925411794166,-48.56838045975193,326.0858460637529,215.7793928039246
1.584893192461114,-48.80603803021063,292.9313511527864,192.9275653227897
1.995262314968879,-49.15459028683989,261.5020995764503,171.0276958385008
2.511886431509582,-49.55357468252768,232.4963036605705,150.8288948935668
3.162277660168379,-49.91611856495469,206.7968799295086,133.1582511895788
3.981071705534969,-50.18437741655379,184.19696846677,117.9448481439948
5.011872336272725,-50.33105104041694,164.2392850804575,104.8422713218094
6.30957344480193,-50.31642677160944,147.2321786312918,94.01469592312742
7.943282347242822,-50.06869786123788,133.2741336619098,85.54448926870755
10,-49.62453931289377,121.4995002517155,78.70660850921692
12.58925411794166,-49.08818674214835,111.1241731894204,72.77484785044302
15.84893192461114,-48.49319346710131,101.8399690704358,67.49026577264966
19.95262314968879,-47.85451954606253,93.28748081855619,62.59733401616404
25.11886431509582,-47.16638901550969,85.50311650427776,58.13114144899367
31.62277660168379,-46.40762180614281,78.47958868538628,54.1134974569295
39.81071705534969,-45.56833995351816,72.01560210384429,50.41510063257402
50.11872336272725,-44.68056792671612,66.15915885857936,47.04167545900142
63.09573444801929,-43.66461922866379,60.64642630420548,43.87123880408853
79.43282347242821,-42.39667263524979,55.3718879576734,40.89183462610271
100,-40.80154191907148,50.36578388480802,38.12576370032615
125.8925411794166,-38.85444692704858,45.79744084713525,35.66439824736625
158.4893192461114,-36.58036970313992,41.715515869201,33.49846458013035
199.5262314968879,-34.02103250950301,38.15753206423543,31.62619294590112
251.1886431509582,-31.25712667479369,35.13011274888201,30.03088333182261
316.227766016838,-28.36935386742063,32.579695197775,28.66696655757586
398.1071705534969,-25.42602130059388,30.48438595787604,27.53168039535677
501.1872336272725,-22.51432927367931,28.78645962564071,26.59246498005391
630.9573444801929,-19.65676749526115,27.42196959855196,25.82394422488629
794.3282347242822,-16.97474899124921,26.34822134029859,25.20032195498188
1000,-14.49583567103101,25.51889561718491,24.70652290270597
1258.925411794166,-12.27265211357007,24.88541007313941,24.3167074003469
1584.893192461114,-10.32159010514075,24.41475760712802,24.0196680411132
1995.262314968879,-8.627655455066025,24.0462108054164,23.77410600813588
2511.886431509582,-7.149270350462814,23.76939912635622,23.58459876053481
3162.277660168379,-5.95804433240258,23.56217126952935,23.43489245444585
3981.071705534969,-4.939210840535375,23.39533000044804,23.30845394814197
5011.872336272725,-4.070350653063989,23.28579796656038,23.22706298250887
6309.57344480193,-3.363769386154137,23.18054774446576,23.14061068214658
7943.282347242822,-2.739418300724553,23.09973885714729,23.07334117583803
10000,-2.250223804708044,23.04338843313068,23.0256192817885
12589.25411794166,-1.778236080690933,22.9962449222195,22.98517038365614
15848.93192461114,-1.47420460954163,22.94454420704506,22.93694976723176
19952.62314968879,-1.163582221209812,22.92463664485551,22.91990941817894
25118.86431509582,-0.880136115067742,22.90964762516523,22.90694469831297
31622.77660168379,-0.6828890238137433,22.88728060649673,22.88565500512444
39810.71705534969,-0.4651854546502213,22.86753741327099,22.86678372109699
50118.72336272724,-0.2814476104840007,22.83870556085733,22.83843001715884
63095.73444801931,-0.09012848742094136,22.85012220079634,22.85009393004556
79432.82347242821,0.1689186457487376,22.85613840164302,22.85603907117905
100000,0.3268142352581252,22.86770946647876,22.86733746200898
125892.5411794166,0.4768039173225905,22.8862505088948,22.88545805042744
158489.3192461114,0.7596392594204148,22.87890694926337,22.87689615122344
199526.2314968879,1.044923879277256,22.89473908359698,22.89093177824871
