#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.01 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
0.1,1.574365431163122,4676.974496312373
0.1258925411794166,-1.639880977162178,5859.950624473396
0.1584893192461114,-9.019698254476374,5206.492540642717
0.1995262314968879,-10.35592680737441,5039.811975953716
0.2511886431509582,-14.53286550302432,4342.618913457394
0.3162277660168379,-8.279831198582796,4610.662419902739
0.3981071705534969,-14.71035764220715,4715.903500313973
0.5011872336272725,-17.39012586718164,4627.466886532154
0.6309573444801929,-21.5776621041309,3986.904370164116
0.7943282347242822,-31.39670651837666,3514.057846838622
1,-26.55791160903948,3492.324985674155
1.258925411794166,-30.84749310974853,3328.473612531457
1.584893192461114,-35.39784682262522,3164.047374530771
1.995262314968879,-43.73826160197889,2829.321912359589
2.511886431509582,-42.7802295460293,2495.166413287936
3.162277660168379,-44.13976117655692,2055.353028794721
3.981071705534969,-44.17605569906247,1968.49476754477
5.011872336272725,-44.52228031243697,1747.700544099176
6.30957344480193,-44.93711524532974,1467.090363360988
7.943282347242822,-47.91288668987314,1328.442624931376
10,-48.60799976138775,1140.668375264701
12.58925411794166,-48.67117292758351,1018.463653810129
15.84893192461114,-50.03586189422166,902.4526129826679
19.95262314968879,-50.5014008780979,772.6726723904345
25.11886431509582,-50.73385135553733,693.8038273960577
31.62277660168379,-51.2797316211439,614.437079879748
39.81071705534969,-50.13429274250842,537.8830921035706
50.11872336272725,-50.59475221446498,472.8341496279458
63.09573444801929,-50.87156364087988,408.3106970250172
79.43282347242821,-50.0767338787029,362.607317994013
100,-50.40189135393155,317.5872892498831
125.8925411794166,-50.02866314943058,278.3027635423116
158.4893192461114,-49.51756680040948,244.88449215166
199.5262314968879,-49.3267519887659,214.4056374569202
251.1886431509582,-49.03409696493991,187.7055317280461
316.227766016838,-48.43199357644115,165.0129599950919
398.1071705534969,-47.6244919795522,144.1527874500091
501.1872336272725,-47.4242602745077,127.6370165720049
630.9573444801929,-45.72052217485643,112.0337771952017
794.3282347242822,-44.22719525794117,99.56744127229497
1000,-42.58170494194622,87.5429731757812
1258.925411794166,-40.33107003484375,77.67039850466541
1584.893192461114,-38.22410716064835,69.86508984833138
1995.262314968879,-34.98558175265342,63.17992670554643
2511.886431509582,-31.46748376356679,56.3896295101453
3162.277660168379,-28.97531732796794,52.07704039402293
3981.071705534969,-25.29422729807326,48.57923630253188
5011.872336272725,-22.25736168942563,45.99246569646257
6309.57344480193,-19.1146237003439,44.11348833338428
7943.282347242822,-17.35945149403194,42.67463460668883
10000,-13.18558091487265,40.92020946068732
12589.25411794166,-11.09314046493639,40.83183463059387
15848.93192461114,-8.127229201020119,38.84743820164802
19952.62314968879,-8.286993754151476,38.72635712643961
25118.86431509582,-4.863184670681815,39.92941253777649
31622.77660168379,-4.433838089924215,39.7305842766186
39810.71705534969,-4.651922651427459,39.04329039554663
50118.72336272724,-3.08018307514224,41.58375250511587
63095.73444801931,0.6695218841910329,38.53217982974593
79432.82347242821,-3.289778349632165,37.8299949945696
100000,-0.5016924106392555,35.29164130651281
125892.5411794166,-2.350113754066586,40.18437870403486
158489.3192461114,6.071812245424859,36.59943887562828
199526.2314968879,0.5246304476630526,35.63285865922863
251188.6431509582,-4.043970662887986,36.56934566106037
316227.7660168379,6.232909305795401,40.15143277814148
398107.1705534969,3.182359650001804,36.91509895386022
501187.2336272725,-1.93094780518641,36.81825022960124
630957.344480193,-0.2551552163827215,37.3428030218611
794328.2347242822,-1.154814129385486,38.92213110384176
1000000,0.3786010769232561,38.49608798916378
1258925.411794166,0.1341247298947541,37.35180273131878
1584893.192461114,-0.2454542958950269,38.57511964402278
1995262.314968879,1.089450759524567,39.41857819106225
2511886.431509582,1.326194416596574,37.40775266203729
3162277.66016838,2.645562910404005,39.45098627187766
3981071.705534969,1.232510441427928,39.60875380626749
5011872.336272725,1.662370139345752,40.27492955594765
6309573.44480193,5.444304871179019,41.54325625885336
7943282.347242822,9.680817019510931,44.18348997269809
10000000,11.86422739225641,49.02132074718669
