#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
0.1,-45.79989525003396,3447.90921153512
0.1258925411794166,-47.15880854501674,4147.56868372742
0.1584893192461114,-44.43300500973849,4658.626689570394
0.1995262314968879,-44.36457200148158,4486.732566595813
0.2511886431509582,-45.46331832001847,4111.218429824539
0.3162277660168379,-46.65699570210243,3651.797747994655
0.3981071705534969,-47.8201622197526,3244.449410304294
0.5011872336272725,-49.02241659859427,2857.496530700025
0.6309573444801929,-50.1957102926627,2523.224666483725
0.7943282347242822,-51.45575154617916,2225.099320451683
1,-52.69216066241867,1956.376023171482
1.258925411794166,-53.81326392502761,1709.170980686352
1.584893192461114,-54.83215104333023,1485.763557448937
1.995262314968879,-55.67514433826173,1287.048473784258
2.511886431509582,-56.35468376399255,1111.663906547714
3.162277660168379,-56.89342390789583,957.8640214927518
3.981071705534969,-57.22983094917418,823.6302387456391
5.011872336272725,-57.39934725885664,707.2096197625484
6.30957344480193,-57.36159720167702,606.656945360271
7.943282347242822,-57.10995281484637,520.2056074521522
10,-56.63235050956324,446.1824155258692
12.58925411794166,-55.94160949382358,382.9042949935343
15.84893192461114,-55.05160087808909,328.9276054488283
19.95262314968879,-54.04804611618827,283.3058137060785
25.11886431509582,-53.04784208180531,245.1223692471412
31.62277660168379,-52.04479375165634,213.2660734153148
39.81071705534969,-50.96341990646707,186.3802627184434
50.11872336272725,-49.74291309386757,163.5617134062279
63.09573444801929,-48.28696656980767,143.929061666443
79.43282347242821,-46.5337851341911,126.8640521414081
100,-44.43176481542157,112.0328623634512
125.8925411794166,-42.00850124197751,99.32234225017977
158.4893192461114,-39.09793400871475,88.32554587769032
199.5262314968879,-35.8920828639616,79.29284959988968
251.1886431509582,-32.6510146477621,72.14205991540392
316.227766016838,-29.93064494728339,66.75353237038476
398.1071705534969,-27.99621703233161,62.65578454416896
501.1872336272725,-26.65549961748199,59.24811195815055
630.9573444801929,-25.51937990111299,56.20731740923495
794.3282347242822,-24.16093436435134,53.32320420814842
1000,-22.57013947963477,50.68888482830964
1258.925411794166,-20.63918778049844,48.34467043149804
1584.893192461114,-18.46963221563985,46.35999384509317
1995.262314968879,-16.22648402585078,44.72019140308917
2511.886431509582,-14.07408373493525,43.40664671205724
3162.277660168379,-12.07154358767816,42.3455681808074
3981.071705534969,-10.29362054703462,41.53422097824519
5011.872336272725,-8.701718534772239,40.88807651335154
6309.57344480193,-7.324820764633308,40.36503611211123
7943.282347242822,-6.118574984777682,39.96708129376073
10000,-5.075313444609551,39.67152391339498
12589.25411794166,-4.21053347755072,39.44642960871455
15848.93192461114,-3.473717082821008,39.2531990752113
19952.62314968879,-2.87790888980878,39.11058353181379
25118.86431509582,-2.369896371166815,38.99658164004041
31622.77660168379,-1.901556917405048,38.91328960317502
39810.71705534969,-1.539933261236851,38.83820786144872
50118.72336272724,-1.222671696225269,38.78040330313107
63095.73444801931,-0.9421999731402305,38.73912559934842
79432.82347242821,-0.7125605913771209,38.74055995004989
100000,-0.5296446687227058,38.71233882938851
125892.5411794166,-0.3740614243558304,38.66839474463406
158489.3192461114,-0.1557583059727047,38.69046057567932
199526.2314968879,-0.004406538109331272,38.69200603085159
251188.6431509582,0.1164984806306825,38.75527318055326
316227.7660168379,0.2408073233700986,38.77520079775994
398107.1705534969,0.3855205437161697,38.72905095266742
501187.2336272725,0.5106755578043257,38.73240315675771
630957.344480193,0.7389606115447696,38.72810153132973
794328.2347242822,0.9667684707300751,38.73991061943529
1000000,1.243851158280048,38.75668007855039
1258925.411794166,1.59835612362493,38.74793391186234
1584893.192461114,2.008098338338123,38.76706069905529
1995262.314968879,2.59109860244149,38.80832643394338
2511886.431509582,3.22890562806276,38.85122722364214
3162277.66016838,4.075328227477479,38.9250132861721
3981071.705534969,5.162244807448287,39.04809180080402
5011872.336272725,6.578619626574507,39.22836264010993
6309573.44480193,7.970512008614699,39.53729569963885
7943282.347242822,10.19116591429412,39.87049738287816
10000000,12.55427019567196,40.3729770652232
