#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
0.1,-51.98417095470817,20744.0329630105
0.1258925411794166,-57.37022740270574,19321.79224207574
0.1584893192461114,-63.43544199325523,16824.62032547107
0.1995262314968879,-67.34315386493562,13770.16743689327
0.2511886431509582,-71.00737608181956,11263.68561769367
0.3162277660168379,-73.08488105369609,8971.225762548818
0.3981071705534969,-75.84583893005943,7374.687829596866
0.5011872336272725,-77.57971382348606,5983.905314598164
0.6309573444801929,-78.82035792776234,4851.624125791296
0.7943282347242822,-79.84941432967197,3944.684533086735
1,-81.21923122899292,3142.845735142478
1.258925411794166,-81.70601978446597,2536.076872027626
1.584893192461114,-81.97813982403098,2046.841188230471
1.995262314968879,-81.86258917203361,1644.961106624513
2.511886431509582,-82.16734281075651,1322.933946448825
3.162277660168379,-82.00469067625858,1066.24240794714
3.981071705534969,-81.41712015964903,862.3318435577705
5.011872336272725,-80.8225446442606,695.3723838387081
6.30957344480193,-79.95476526951755,560.8830320163478
7.943282347242822,-78.79221226236378,452.7163377596804
10,-77.43409113527014,365.5805443699178
12.58925411794166,-75.69222932046124,296.850614090893
15.84893192461114,-73.55274419312946,241.9469528740291
19.95262314968879,-71.01704006599704,198.1126269981907
25.11886431509582,-67.98305153853765,163.1440522954554
31.62277660168379,-64.49057015781172,135.6276895538226
39.81071705534969,-60.43323277530695,113.8585525762887
50.11872336272725,-55.91906417710016,96.96511592103711
63.09573444801929,-51.04479995841803,83.80461709617008
79.43282347242821,-45.91585376668851,73.70570634599792
100,-40.64534227079248,65.98530514525275
125.8925411794166,-35.4984638617298,60.24590141488618
158.4893192461114,-30.60196623886247,55.97588408516653
199.5262314968879,-26.12528984389387,52.80712806604509
251.1886431509582,-22.1639984158226,50.45096895320926
316.227766016838,-18.62390900994757,48.70606438034765
398.1071705534969,-15.64281112073889,47.35996340646938
501.1872336272725,-13.113456741235,46.36505066270266
630.9573444801929,-11.01138787870903,45.57152859048811
794.3282347242822,-9.142676919281106,45.01420224014104
1000,-7.728065575065774,44.5336403204988
1258.925411794166,-6.475558418425749,44.08126079174622
1584.893192461114,-5.320982751047796,43.84430187159944
1995.262314968879,-4.525334051128612,43.54899770796874
2511.886431509582,-3.778717803177726,43.36646757230314
3162.277660168379,-3.158738271788133,43.18231849672312
3981.071705534969,-2.733403783634448,42.9844982381226
5011.872336272725,-2.261134226509322,42.92320396713622
6309.57344480193,-1.822097508896612,42.68343096938251
7943.282347242822,-1.621364496658395,42.74654496449637
10000,-1.304884496999647,42.5383044376994
12589.25411794166,-1.223866357908358,42.54378897149929
15848.93192461114,-0.8098479663335648,42.39566846097166
19952.62314968879,-0.6565224518442621,42.51621575324057
25118.86431509582,-0.5600319482513739,42.2628555225678
31622.77660168379,-0.2919766673480071,42.53162395103347
39810.71705534969,-0.3881647356756926,42.42511710012909
50118.72336272724,0.0617355725312391,42.40345460669923
63095.73444801931,-0.05038738113804267,42.44550476604086
79432.82347242821,0.6348267897257542,42.19713599035308
100000,0.3027970011263838,42.3585820981404
125892.5411794166,0.7280280643937982,42.50309474573928
158489.3192461114,0.7416010152097161,42.34550061317643
199526.2314968879,1.153438594223284,42.34704556752156
251188.6431509582,1.950006140202001,42.29323174295908
316227.7660168379,2.074138976034768,42.81362909247942
398107.1705534969,2.776549735105921,42.41074206993034
501187.2336272725,3.240340896832745,42.63268178579762
630957.344480193,4.22860786679831,42.77892006761039
794328.2347242822,5.094495681582236,42.89176668678906
1000000,6.283429971831379,43.10231996385085
1258925.411794166,7.866602570547133,43.50767670779742
1584893.192461114,9.775338934520301,43.93458596686606
1995262.314968879,11.96569546248757,44.71265177091831
2511886.431509582,14.76527688927725,45.79366154341596
3162277.66016838,18.30298257208226,47.49632227607474
3981071.705534969,22.45186953765572,49.88510279958271
5011872.336272725,28.37458044696823,54.96469496446927
6309573.44480193,25.83800407492729,61.21255865972616
7943282.347242822,33.74667221664462,72.8281925352601
10000000,31.49702186556106,91.18884509919582
