#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
0.1,-47.58379832993357,19061.08818890326
0.1258925411794166,-53.62395636992895,17000.62353340316
0.1584893192461114,-58.10081054853305,14490.87461749834
0.1995262314968879,-64.50657666193617,12619.96470655735
0.2511886431509582,-67.82115248585491,10392.97212113356
0.3162277660168379,-70.14157908058961,8273.924707512189
0.3981071705534969,-72.82506696697051,6945.927735046746
0.5011872336272725,-75.9983206119318,5571.932602120531
0.6309573444801929,-77.83005623835889,4531.96308353843
0.7943282347242822,-78.94193943458265,3697.439353679303
1,-79.98888348388047,2970.8729739873
1.258925411794166,-80.68893746866129,2381.478901421928
1.584893192461114,-81.02780158644512,1919.960997960429
1.995262314968879,-81.40156822215162,1552.770409928057
2.511886431509582,-81.3963357665092,1247.637421504661
3.162277660168379,-81.23667649226935,1010.261720164865
3.981071705534969,-80.85522265941685,813.1791451802513
5.011872336272725,-80.20829698724279,658.46430254534
6.30957344480193,-79.34810815865507,531.2505539379775
7.943282347242822,-78.24353372000736,429.3275240986854
10,-76.91297554400025,347.0745693586729
12.58925411794166,-75.08035912229253,281.8380393100092
15.84893192461114,-72.90277968809882,230.1224420487556
19.95262314968879,-70.28230921802748,188.6803129836425
25.11886431509582,-67.16512715786833,155.7519169141715
31.62277660168379,-63.5841235878849,129.6476834239333
39.81071705534969,-59.45583235619812,109.2323697863314
50.11872336272725,-54.86630189347621,93.24234832990678
63.09573444801929,-49.91128803093965,80.8633224645812
79.43282347242821,-44.74945876792063,71.40651696661138
100,-39.54807790900528,64.196578036381
125.8925411794166,-34.42706699241249,58.87121408287096
158.4893192461114,-29.64309601547453,54.83563441294103
199.5262314968879,-25.3612786307479,51.85832128723176
251.1886431509582,-21.42989873015528,49.69299267380178
316.227766016838,-18.01499467782643,48.0030294909745
398.1071705534969,-15.13684591753685,46.81171718583214
501.1872336272725,-12.57348748792884,45.90363572811826
630.9573444801929,-10.52703923273894,45.12212715359216
794.3282347242822,-8.935903475308661,44.55144661942334
1000,-7.400620080131257,44.13933746980769
1258.925411794166,-6.200656779574282,43.74285363170022
1584.893192461114,-5.254903387578598,43.43690693145222
1995.262314968879,-4.281000257474237,43.07951954468376
2511.886431509582,-3.75257913671342,43.04052385735081
3162.277660168379,-2.973529000287525,42.79659119649111
3981.071705534969,-2.499149961699036,42.68544704985701
5011.872336272725,-2.167369676989563,42.61198377240643
6309.57344480193,-1.681405473922565,42.50248208162616
7943.282347242822,-1.472886939820661,42.31064457669264
10000,-1.320148318021785,42.27325635058893
12589.25411794166,-1.037077158326951,42.14506670102595
15848.93192461114,-0.7545935656599372,42.19738889457389
19952.62314968879,-0.7310591868412581,42.22071608100865
25118.86431509582,-0.4612646029230108,42.05470083755303
31622.77660168379,-0.1320081108820169,42.01363079880312
39810.71705534969,-0.616689225716743,41.96905228208473
50118.72336272724,0.1130963370423946,42.09842121406344
63095.73444801931,0.1638433338782811,42.10561541197684
79432.82347242821,0.6682719396876023,42.10134610891286
100000,0.5341294292024522,42.08547558739469
125892.5411794166,0.8468413340727567,42.00741972304882
158489.3192461114,1.223679296384245,42.25236252191467
199526.2314968879,1.348857738651905,42.61900751909822
251188.6431509582,1.943923319856087,42.17613843608184
316227.7660168379,2.387252409853705,42.49724337246676
398107.1705534969,3.092808333359957,42.4920414081875
501187.2336272725,3.491668762068448,42.14949445114604
630957.344480193,4.104240164826833,42.43768850504465
794328.2347242822,5.315621880332087,42.68761438690931
1000000,6.097296521001783,42.8815844239009
1258925.411794166,7.94447986858914,43.14141460608135
1584893.192461114,9.804171330535709,43.67173550298624
1995262.314968879,11.96343119505083,44.34401376130476
2511886.431509582,14.84225595943689,45.37285730715739
3162277.66016838,18.28748854642547,47.07471152706677
3981071.705534969,22.65984501410168,49.55286285584625
5011872.336272725,28.67379477098521,54.64394265330901
6309573.44480193,26.08410188582731,60.63754464132433
7943282.347242822,34.09598676446831,71.9873302166567
10000000,32.56768452271964,89.35933936554468
