#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
1,-16.39155128633494,7414.207381075854
1.258925411794166,-19.44224098802045,7771.554189171238
1.584893192461114,-22.85646550315606,8409.709862261956
1.995262314968879,-24.81540935392209,7621.331953854935
2.511886431509582,-25.97652741276067,7341.272153471447
3.162277660168379,-27.25273720071537,6872.86425114441
3.981071705534977,-27.34914930818059,6602.470916574546
5.011872336272725,-27.04372250609648,6253.301223449586
6.309573444801942,-27.03467348058726,5851.480152419121
7.943282347242822,-26.36987373896341,5578.280772084696
10,-25.08034274156214,5273.638708478217
12.58925411794166,-24.44391170410045,4918.782553629218
15.84893192461114,-23.82370570811771,4736.851262530552
19.95262314968879,-22.78598214487143,4506.066834151616
25.11886431509577,-23.61475942849346,4326.794930234721
31.62277660168379,-23.48534378226533,4079.447779030386
39.81071705534969,-23.59898870427033,3886.163605479322
50.11872336272725,-24.55507701553266,3683.940950761579
63.09573444801929,-23.75509845170651,3490.245169219781
79.43282347242805,-24.12188509613606,3256.046533137921
100,-24.25973754505811,3055.16846088182
125.8925411794169,-24.74569372560914,2880.800674767975
158.4893192461114,-24.76185228694165,2693.273541456675
199.5262314968879,-25.04132053709759,2515.992496430084
251.1886431509582,-24.78123808860811,2356.471509464658
316.227766016838,-24.92451947129176,2195.872564577893
398.1071705534969,-24.53425365332544,2047.966192197826
501.1872336272715,-23.69759616476187,1911.938775043426
630.9573444801929,-23.10419952359856,1784.463473630753
794.3282347242822,-22.43002628872658,1690.072885066524
1000,-20.96915221990113,1582.173904126975
1258.925411794166,-20.55309692305237,1519.675456553987
1584.893192461111,-19.0095925198451,1427.091348568922
1995.262314968879,-17.71661148103428,1356.366773209949
2511.886431509582,-16.31387120910879,1305.557046848837
3162.277660168379,-15.15187453704655,1249.19055918332
3981.071705534969,-13.27093432797747,1206.422292298392
5011.872336272725,-12.44132360957662,1185.238472821821
6309.57344480193,-11.0006516328569,1142.928097975443
7943.282347242822,-9.947225246069349,1121.001302440983
10000,-8.814862365885139,1099.278024427172
12589.25411794167,-8.29166274415584,1082.906677442687
15848.93192461113,-7.655436737261995,1063.801781557997
19952.62314968881,-7.187339588193334,1050.802941743037
25118.86431509579,-6.368280497222162,1039.777655892275
31622.77660168382,-6.400133970309073,1034.395433364405
39810.71705534973,-6.627557602628075,1029.647184940903
50118.72336272719,-5.89403811666344,999.9447762889076
63095.73444801931,-7.710332056296227,1029.59052191675
79432.82347242805,-7.978083848659856,1007.055149890374
100000,-8.824935836886707,988.6230090832373
125892.5411794166,-11.17037295523726,1001.196551402993
158489.3192461114,-13.11618967658775,996.8016443083874
199526.2314968879,-15.39462917447442,972.5181748412255
251188.6431509582,-18.48757263262097,937.461132821772
316227.7660168379,-21.92520603511284,924.6017850858817
398107.1705534976,-27.47416320172026,875.2207324926104
501187.2336272722,-32.15032932299033,815.8927421407725
630957.3444801936,-38.2025430290955,765.5197143855354
794328.2347242814,-43.8773893958287,693.9655658074062
999999.999999999,-49.92109908646092,608.0040314439419
1258925.411794167,-55.94692612096109,523.0474280712072
1584893.192461113,-60.26381348217812,434.7519983426982
1995262.31496888,-64.30622426035605,359.2034612220688
2511886.431509579,-67.31509845448248,293.3364607740539
3162277.660168381,-69.19241809209738,236.8968534088613
3981071.705534971,-70.14435174166856,191.2387280063832
5011872.336272726,-69.64920528982266,156.7308592631469
6309573.444801931,-69.49842901821415,124.4747084768001
7943282.347242822,-65.41906089629597,104.5808822974128
10000000,-71.64721636113882,73.23019213020379
