#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 1000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
1,-50.89386555733579,80952.90874306799
1.258925411794166,-50.4864222638389,70560.8462416141
1.584893192461114,-50.56244845029012,62316.49090179134
1.995262314968879,-50.99445312275517,53917.52446254174
2.511886431509582,-52.02550120857774,47692.7113625983
3.162277660168379,-52.27923300397731,41453.40294157011
3.981071705534977,-52.80501556886931,36227.24272448549
5.011872336272725,-53.14196508953705,31575.97433229381
6.309573444801942,-53.19454638383188,27438.35882084968
7.943282347242822,-53.07691894443091,23774.779947763
10,-52.77992507564999,20482.15873402162
12.58925411794166,-52.30971670510559,17771.08908401461
15.84893192461114,-51.41292151146704,15454.93598725463
19.95262314968879,-50.3666381093079,13499.17409230659
25.11886431509577,-49.15565877785169,11796.94068329422
31.62277660168379,-47.72615849326223,10367.91747604552
39.81071705534969,-46.00687973667693,9179.291729499351
50.11872336272725,-46.67858850433097,8196.012327030374
63.09573444801929,-42.36068197119385,7325.47705318006
79.43282347242805,-40.57522464764847,6577.078346517705
100,-38.95598209568977,5899.576544203125
125.8925411794169,-36.99830573921397,5413.307429877033
158.4893192461114,-35.25761552199498,4934.828378970151
199.5262314968879,-33.66849431485115,4523.423863602579
251.1886431509582,-31.79804314617257,4151.66893946585
316.227766016838,-30.1362562426707,3831.785732471827
398.1071705534969,-28.18744265615178,3556.994744374253
501.1872336272715,-26.33297014897909,3314.213544814098
630.9573444801929,-24.55580738955357,3105.012503775961
794.3282347242822,-22.67564080905344,2931.497554356192
1000,-20.92253267307749,2771.753194350058
1258.925411794166,-19.00519448692511,2642.523734391189
1584.893192461111,-17.18926344597083,2533.897272224468
1995.262314968879,-15.77680002825967,2434.989062663054
2511.886431509582,-14.22343875383166,2353.911869172533
3162.277660168379,-12.88905652324362,2285.656000567937
3981.071705534969,-11.6615383756568,2223.187078522722
5011.872336272725,-10.52433948179045,2173.240835104795
6309.57344480193,-9.636861775391823,2133.444812397168
7943.282347242822,-8.970765960444552,2101.371279144942
10000,-8.42306950586681,2068.901808100949
12589.25411794167,-7.785262655827984,2036.30633651391
15848.93192461113,-7.348106698106986,2014.702309250946
19952.62314968881,-7.509206966443028,1997.296553818004
25118.86431509579,-7.415390411599956,1974.946068434478
31622.77660168382,-7.738599859219396,1946.454498534342
39810.71705534973,-8.92398083960795,1966.535896405641
50118.72336272719,-10.97392048249156,1925.771074712428
63095.73444801931,-10.34303067016253,1894.310483517126
79432.82347242805,-12.76206828671632,1883.113222406046
100000,-14.81944010541276,1854.828119292223
125892.5411794166,-17.04803630224611,1816.945188708969
158489.3192461114,-20.46488227009831,1754.239054803588
199526.2314968879,-24.26521771874389,1679.959311451563
251188.6431509582,-29.27632143084739,1704.28219228769
316227.7660168379,-34.26768742035472,1469.883716580062
398107.1705534976,-38.33702157500013,1352.678650331486
501187.2336272722,-42.56881045286449,1201.674369592117
630957.3444801936,-46.86153924591918,1057.538212898874
794328.2347242814,-50.64755484341152,911.8131796679554
999999.999999999,-52.74118851531106,781.4966512228168
1258925.411794167,-54.46537263272238,673.7348704338431
1584893.192461113,-55.08057910727177,577.4491999223521
1995262.31496888,-57.21446436197939,500.5511192864899
2511886.431509579,-58.42846656759962,438.3785238909075
3162277.660168381,-60.69947506201297,382.4222740094626
3981071.705534971,-62.75308811813016,336.2259369387246
5011872.336272726,-68.06734080844664,303.261788001309
6309573.444801931,-70.5692713486015,240.220616188374
7943282.347242822,-75.22027641100759,220.404459888881
10000000,-80.79528960047652,115.1043556982535
