#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
1,-31.71876528836349,73090.61809095382
1.258925411794166,-30.24517682813965,56713.65170512311
1.584893192461114,-31.05711912014452,51556.07271364996
1.995262314968879,-33.84593962292854,45783.42764588599
2.511886431509582,-37.47432964809273,44553.23949949978
3.162277660168379,-35.68029103997947,41413.05011132346
3.981071705534977,-40.91085605335805,35994.82253852126
5.011872336272725,-41.92411162282928,32368.50326458495
6.309573444801942,-41.4006600688366,29824.76586079883
7.943282347242822,-42.36287375115594,29129.72612038839
10,-39.69151101838669,26169.36926785044
12.58925411794166,-43.58466196200244,21535.43745193166
15.84893192461114,-45.16405011004306,19041.4974686095
19.95262314968879,-45.15321067046526,17523.32193139306
25.11886431509577,-47.49231905084176,15165.86436008074
31.62277660168379,-47.36337844942522,13413.7322199706
39.81071705534969,-47.95315120339519,11642.38775230329
50.11872336272725,-51.33933633406949,10668.74434690812
63.09573444801929,-47.98858427711586,9218.407224953029
79.43282347242805,-48.18035972343665,8130.645334882063
100,-48.07354887015273,7167.323873278763
125.8925411794169,-47.41170347298789,6149.352487435889
158.4893192461114,-46.65954747634881,5437.175792674267
199.5262314968879,-45.52694918482329,4822.439061602307
251.1886431509582,-44.77834355050212,4242.670431458797
316.227766016838,-42.99392983149332,3763.434165790577
398.1071705534969,-41.38127334685081,3354.094449161497
501.1872336272715,-39.29554548697897,3021.17474297937
630.9573444801929,-38.0535750745365,2720.733228978195
794.3282347242822,-35.61826350438967,2459.362684222564
1000,-33.62340048661445,2258.138642463201
1258.925411794166,-30.53228029013146,2075.527679537564
1584.893192461111,-28.31924855615772,1917.71485256335
1995.262314968879,-25.97417651792865,1796.151837807922
2511.886431509582,-23.99468942788932,1680.743067563739
3162.277660168379,-21.61085987526642,1598.339320970884
3981.071705534969,-19.21263293422062,1526.652198251358
5011.872336272725,-18.08515350878133,1460.222490331475
6309.57344480193,-16.68980404091186,1414.118446348714
7943.282347242822,-14.79248363968054,1366.930833142301
10000,-13.19713338589975,1329.318460215515
12589.25411794167,-11.85320367673828,1304.051686560361
15848.93192461113,-11.1131530878419,1274.057132848589
19952.62314968881,-10.27507802926714,1246.217129673046
25118.86431509579,-10.42007794715634,1234.938547709085
31622.77660168382,-9.439942768875202,1212.681134723781
39810.71705534973,-10.19250909712047,1186.336272134219
50118.72336272719,-8.334039089451005,1156.889607608718
63095.73444801931,-9.966072918867367,1173.143831786822
79432.82347242805,-11.16798043430012,1159.88212768272
100000,-11.44305484174109,1136.521321416664
125892.5411794166,-13.87874419298948,1113.481115002549
158489.3192461114,-14.48788069195292,1116.23728261381
199526.2314968879,-18.11657240743359,1076.688667722889
251188.6431509582,-22.59019645201932,1041.769921835803
316227.7660168379,-26.5087142323237,1003.611383738646
398107.1705534976,-30.43403407565335,948.7886056014943
501187.2336272722,-36.2666178718468,881.0876448288091
630957.3444801936,-42.21810968234848,804.0207371224418
794328.2347242814,-47.6340702476549,721.7340153320646
999999.999999999,-53.39528765307004,622.5936268043291
1258925.411794167,-58.51162660363909,532.4487913899206
1584893.192461113,-62.93736916843848,443.6495432319965
1995262.31496888,-66.49069488017243,362.603882314743
2511886.431509579,-68.99695364528321,295.0981177818881
3162277.660168381,-70.58599283330281,237.7165543113827
3981071.705534971,-70.99654700475817,191.2447383861497
5011872.336272726,-69.99881461726686,159.4553538620197
6309573.444801931,-69.88522088783031,123.2776693361892
7943282.347242822,-65.68171051031125,102.5174112268153
10000000,-72.76450732115262,74.92986627496337
