#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 71
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
1,-33.80869294427655,67390.58685061651
1.258925411794166,-35.75537507048965,60434.06687852579
1.584893192461114,-26.85007416378314,51392.65412749959
1.995262314968879,-38.10503837279094,48095.28896538557
2.511886431509582,-43.58639634289887,47002.24668586635
3.162277660168379,-38.60654400626763,44315.51358242565
3.981071705534977,-41.54792937668922,39122.46752509496
5.011872336272725,-43.07970367710878,34587.66806367889
6.309573444801942,-49.71384855819563,33544.62885515804
7.943282347242822,-43.44056612103588,28604.14206231429
10,-48.4433202097278,24860.46001387611
12.58925411794166,-47.12267065047841,21856.55375259545
15.84893192461114,-51.21417835397313,18899.63880131322
19.95262314968879,-49.00415337384268,16827.75106225383
25.11886431509577,-49.54944356196457,14386.15711753013
31.62277660168379,-50.1969741010796,13169.30258785023
39.81071705534969,-50.89247933898651,11175.95882020868
50.11872336272725,-54.06560076392637,9997.534739239327
63.09573444801929,-50.99351450472085,8486.727937180902
79.43282347242805,-50.11975172919804,7385.615127893574
100,-49.49090942585579,6360.474648640803
125.8925411794169,-49.04215829852566,5665.715153710024
158.4893192461114,-47.16286531331861,4940.765880542682
199.5262314968879,-45.92254451498697,4364.853244262668
251.1886431509582,-44.47032597373818,3860.052990411798
316.227766016838,-42.07056984218394,3481.647210407493
398.1071705534969,-39.79667218402462,3124.165673573521
501.1872336272715,-37.72712832011027,2808.875392193019
630.9573444801929,-35.08283809055067,2563.288804420921
794.3282347242822,-33.1539357827807,2332.147639786902
1000,-30.69571164986252,2145.069790463196
1258.925411794166,-27.99895138744491,1989.287989652179
1584.893192461111,-25.37473196360349,1868.30492979258
1995.262314968879,-23.57585865233732,1752.020538882761
2511.886431509582,-21.05476341246712,1677.979035063852
3162.277660168379,-18.98898335915784,1591.346004797059
3981.071705534969,-17.13589717546262,1540.362240698261
5011.872336272725,-14.94836335695226,1490.068071809592
6309.57344480193,-13.67009655556594,1440.769596376495
7943.282347242822,-12.26637126350444,1403.470886484821
10000,-11.4393522412254,1375.088549325625
12589.25411794167,-9.594030236998375,1357.650521129857
15848.93192461113,-9.0736669976,1330.073851834704
19952.62314968881,-8.714183832904132,1304.317435237116
25118.86431509579,-8.290249981038288,1292.03449162375
31622.77660168382,-8.836861682807688,1266.634557968699
39810.71705534973,-8.601299470851902,1297.282916845523
50118.72336272719,-8.028380869474466,1266.542356927221
63095.73444801931,-9.205552699826637,1235.730333947677
79432.82347242805,-10.33465621407937,1227.887796924292
100000,-11.65628800886371,1232.221923109193
125892.5411794166,-13.88546528454087,1219.214343081145
158489.3192461114,-17.14402077253875,1195.097047129641
199526.2314968879,-17.90190765466268,1151.296492133611
251188.6431509582,-22.50605730991746,1129.338945002805
316227.7660168379,-28.10662320500323,1088.738267398609
398107.1705534976,-32.99140931484887,1018.488024415011
501187.2336272722,-38.51537258528305,936.2780374031641
630957.3444801936,-44.29492516346455,840.638758229748
794328.2347242814,-50.30439038551182,748.1869075178379
999999.999999999,-55.87276106040566,637.2806920723202
1258925.411794167,-60.64832367041367,537.6603012359668
1584893.192461113,-64.75131600088096,445.2150654283857
1995262.31496888,-68.04520488937212,363.8441746228843
2511886.431509579,-70.26648613608722,294.9342648562121
3162277.660168381,-71.51575445831294,238.2347624258238
3981071.705534971,-71.8014607285514,191.0468203323531
5011872.336272726,-71.1739630401396,157.0322288085308
6309573.444801931,-70.60001507961432,123.5665779915058
7943282.347242822,-66.44497108558296,103.6448730126326
10000000,-73.9159023038691,73.10733549526823
