#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B19D0B
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 0.1 Hz
#Stop: 1e+07 Hz
#Steps: 81
#Resistor: 1000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.53139 V
#Offset: -3.93045e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54075 V
#Offset: 6.34596e-06 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
0.1,-41.73798143394958,304266.6873899619
0.1258925411794166,-43.2747620342794,282101.3664846999
0.1584893192461114,-47.53955322666665,246729.8959856839
0.1995262314968879,-47.70032346455765,206356.90132452
0.2511886431509582,-46.24326878374805,195976.9155966687
0.3162277660168379,-46.60436002506031,169787.1799138934
0.3981071705534969,-48.00768117454886,149411.9800516049
0.5011872336272725,-49.80918420141022,129829.5611500414
0.6309573444801929,-49.89581429940158,114444.5619475325
0.7943282347242822,-50.06874649742244,99717.04425986527
1,-50.52060961974179,88892.68683318532
1.258925411794166,-51.10147068264131,77814.36652305075
1.584893192461114,-51.24313471077779,68233.78355294626
1.995262314968879,-52.2376144226101,59740.9324378633
2.511886431509582,-52.47524138563201,52670.95675870604
3.162277660168379,-52.27823572554121,45320.19457818148
3.981071705534969,-52.30332009734421,39931.02408537055
5.011872336272725,-52.39920135510217,34978.08771449493
6.30957344480193,-52.47456396815888,30338.6615159007
7.943282347242822,-52.62076328446808,26509.60776468839
10,-51.86019701245368,22903.07583299953
12.58925411794166,-51.44302572409796,19894.14897621863
15.84893192461114,-50.67032560150923,17351.5313127864
19.95262314968879,-49.61219084424815,15164.95228416396
25.11886431509582,-48.35561663718563,13290.51882485843
31.62277660168379,-47.060319297545,11701.91327840422
39.81071705534969,-45.31171212576787,10401.11162444424
50.11872336272725,-42.32133471690327,9669.75113326976
63.09573444801929,-41.76067677339188,8266.863577585211
79.43282347242821,-40.47312383479922,7461.74360534571
100,-39.23743919611429,6768.53628224049
125.8925411794166,-37.18367439829358,6138.721119648998
158.4893192461114,-35.61901240615173,5601.705493842294
199.5262314968879,-34.14120698845347,5131.190097247791
251.1886431509582,-32.43009595003951,4701.858800256413
316.227766016838,-30.81936580079414,4335.196691360583
398.1071705534969,-29.14969164383184,4014.304350600569
501.1872336272725,-27.43513294246933,3731.961746185069
630.9573444801929,-25.73308210598235,3493.307406004081
794.3282347242822,-24.21549660884369,3270.038183492672
1000,-22.59972593832246,3083.821670594451
1258.925411794166,-20.87525538854126,2920.986305559685
1584.893192461114,-19.29953248075469,2783.447104722558
1995.262314968879,-17.70629556048448,2657.825142548503
2511.886431509582,-16.18739175400863,2553.149598232152
3162.277660168379,-14.7733110959918,2463.463399227946
3981.071705534969,-13.51084648507944,2389.876449980776
5011.872336272725,-12.30683065305906,2320.318432620383
6309.57344480193,-11.29879236387302,2268.183169430922
7943.282347242822,-10.32703993253512,2222.352874403149
10000,-9.569611040087491,2171.892870758145
12589.25411794166,-9.202696549691824,2148.532023734706
15848.93192461114,-8.758099420610572,2112.429446717833
19952.62314968879,-8.543349654854527,2088.752957672119
25118.86431509582,-8.558781949886459,2061.553768112192
31622.77660168379,-8.933571944652931,2032.874012797226
39810.71705534969,-9.96225200110746,1979.036143717457
50118.72336272724,-10.83157532597654,2054.872376518583
63095.73444801931,-11.55696575255073,1966.372419373384
79432.82347242821,-13.27321043754731,1941.031236111145
100000,-13.24008978400047,1860.715587473858
125892.5411794166,-18.42578348102617,1848.416651475418
158489.3192461114,-21.60861448055295,1769.332084921451
199526.2314968879,-25.14962070464161,1711.162920345376
251188.6431509582,-29.84493188029538,1629.404352947475
316227.7660168379,-33.82439487728256,1515.280671789059
398107.1705534969,-38.70792448120754,1364.807570113081
501187.2336272725,-43.09477871500766,1214.792111781791
630957.344480193,-47.31205133882506,1066.246597267324
794328.2347242822,-50.78124422709487,920.6112797571591
1000000,-52.99841230377176,789.2041355246268
1258925.411794166,-54.50977050251108,674.0620907976368
1584893.192461114,-56.04435794768468,584.4911561869737
1995262.314968879,-57.22973042547915,504.191854510984
2511886.431509582,-58.56008038969055,442.5873282084289
3162277.66016838,-60.45755395749725,388.5657192052023
3981071.705534969,-62.59074869889626,340.2917857944383
5011872.336272725,-68.482396146765,320.2686111679067
6309573.44480193,-70.02837407961057,239.7871871198124
7943282.347242822,-75.61952640763694,222.8220585006787
10000000,-80.59989449247269,115.542529669943
